Reference,number,water_depth_m,area_m2,volume_m3,porosity,voids_m3,HLR_lit_m2d,daily_flow_lit,OLR_gCOD_m2d,HRT_h,HRT_days,air_flow_m3h,aer_duration_h_day,air_per_day_m3,air_per_HRT_m3,COD_IN,COD_OUT,deltaCOD,CBOD_IN,CBOD_OUT,deltaCBOD,TKN_IN,TKN_OUT,deltaTKN,NH4_IN,NH4_OUT,deltaNH4,OCR_max_v,OCR_int_v,OCR_min_v,OCR_max_a,OCR_int_a,OCR_min_a,OC_max,OC_int,OC_min,OI,AE_max,AE_int,AE_min
"(Patil and Chakraborty, 2017)",13b,0.25,0.3,0.075,,0.01875,44.6,13.38,15.520800000000001,77.92,3.2466666666666666,0.15,4,0.6,1.948,348.0,10.439999999999998,337.56,,,,,,,66.0,23.1,42.9,95.42616000000001,43.121064000000004,13.010712,23.856540000000003,10.780266000000001,13.010712,23.23626996,10.499979084000001,3.1681083720000003,497.0322,4.675002939447387,2.112534979423872,0.6374050558495015
"(Patil and Chakraborty, 2017)",13c,0.25,0.3,0.075,,0.01875,44.6,13.38,15.61,86.5,3.6041666666666665,0.15,4,0.6,2.1624999999999996,350.0,10.5,339.5,,,,,,,35.0,6.300000000000001,28.7,84.119168,38.987536000000006,8.704136,21.029792,9.746884000000001,8.704136,22.738462600000002,10.538818325000001,2.3528367625000004,551.7618749999999,4.121064471879296,1.9100301783264686,0.42642249657065073
"(Redmond et al., 2014)",14a,0.305,5.4412,1.659566,,0.50616763,48.70249209733147,265.0,31.072189958097475,79.19999999999999,3.2999999999999994,0.78,6,4.68,15.443999999999996,638.0,57.41999999999996,580.58,,,,,,,34.0,9.52,24.48,110.68846915398363,52.998850301825904,6.645255446303431,33.75998309196501,16.1646493420569,6.645255446303431,606.192906,290.251797,36.393192,3940.536599999999,15.383511626309978,7.365793709415108,0.9235592939296645
"(Redmond et al., 2014)",14b,0.305,5.4412,1.659566,,0.50616763,48.70249209733147,265.0,31.072189958097475,103.19999999999999,4.3,0.78,6,4.68,20.124,638.0,44.65999999999997,593.34,,,,,,,34.0,5.440000000000001,28.56,115.72286971413008,55.12515320270481,7.752798020687336,35.295475262809674,16.813171726824965,7.752798020687336,825.813882,393.380469,55.325004,5134.6386,16.08319389800872,7.66130782797449,1.0774858429179468
"(Uggetti et al., 2016)",15,1.0,2.64,2.64,0.4,1.056,72.0,190.08,8.495999999999999,132.0,5.5,12.0,24,288.0,1584.0,118.0,53.0,65.0,,,,19.25,3.58,15.67,,,,9.869904,4.258008,1.9180080000000002,9.869904,4.258008,1.9180080000000002,143.31100608000003,61.826276160000006,27.849476160000005,404157.6,0.035459188712524514,0.015297566137571068,0.006890746619639446
"(Wu et al., 2015)",16,0.65,0.031400000000000004,0.020410000000000005,0.35,0.0065,64.0,2.0096000000000003,27.264,72.0,3.0,0.06,4,0.24,0.72,426.2,17.6,408.59999999999997,,,,39.800000000000004,1.08,38.720000000000006,,,,57.768566153846145,26.596824615384616,6.481132307692308,37.549568,17.287936000000002,6.481132307692308,3.5371693056000004,1.6285235712000001,0.3968397312000001,183.70799999999997,1.9254301966163714,0.8864739538833322,0.21601657587040504
"(Wu et al., 2016a)",17a,0.65,0.031400000000000004,0.020410000000000005,0.4,0.006,63.694267515923556,2.0,15.777070063694264,72.0,3.0,1.8599999999999999,4,7.4399999999999995,22.32,247.7,4.5,243.2,,,,20.16,0.3999999999999999,19.76,,,,32.73846153846153,15.20744732974032,3.2917197452229296,21.279999999999998,9.884840764331209,3.2917197452229296,2.004576,0.931152,0.201552,5694.947999999999,0.035199197604618516,0.016350491698960395,0.003539136792828436
"(Wu et al., 2016a)",17b,0.65,0.031400000000000004,0.020410000000000005,0.4,0.006,63.694267515923556,2.0,27.75159235668789,72.0,3.0,1.8599999999999999,4,7.4399999999999995,22.32,435.7,6.6,429.09999999999997,,,,40.06999999999999,0.5500000000000007,39.519999999999996,,,,59.86202841744242,27.607447329740317,6.5834394904458575,38.910318471337575,17.944840764331207,6.5834394904458575,3.6653519999999995,1.6904039999999998,0.40310399999999996,5694.947999999999,0.06436146563585804,0.029682518611231293,0.0070782735856409025
"(Wu et al., 2016a)",17c,0.65,0.031400000000000004,0.020410000000000005,0.4,0.006,63.694267515923556,2.0,39.19108280254776,72.0,3.0,1.8599999999999999,4,7.4399999999999995,22.32,615.3,22.0,593.3,,,,62.03,0.7200000000000006,61.31,,,,85.77422831945123,39.282410583047515,10.213326800587945,55.7532484076433,25.53356687898089,10.213326800587945,5.251956,2.4052619999999996,0.625362,5694.947999999999,0.09222131615600467,0.04223501250582483,0.010980995787841579
"(Wu et al., 2016a)",17d,0.65,0.031400000000000004,0.020410000000000005,0.4,0.006,63.694267515923556,2.0,62.10191082802547,72.0,3.0,1.8599999999999999,4,7.4399999999999995,22.32,975.0,32.2,942.8,,,,72.84,1.4400000000000004,71.4,,,,124.57030867221947,58.0872121509064,11.89416952474277,80.97070063694265,37.75668789808916,11.89416952474277,7.62744,3.55668,0.72828,5694.947999999999,0.13393344416841396,0.06245324803667545,0.012788176467990017
"(Wu et al., 2016b)",18a,0.65,0.031400000000000004,0.020410000000000005,0.35,0.006,64.0,2.0096000000000003,27.276799999999998,72.0,3.0,0.06,1,0.06,0.18,426.2,27.276800000000037,398.92319999999995,,,,,,,39.6,10.1,29.5,52.639822769230754,24.57714215384615,4.937846153846153,34.2158848,15.9751424,4.937846153846153,3.22313634816,1.50485841408,0.30234432000000006,45.92699999999999,7.017955338167085,3.2766312062185587,0.6583149781174542
"(Wu et al., 2016b)",18b,0.65,0.031400000000000004,0.020410000000000005,0.35,0.006,64.0,2.0096000000000003,27.276799999999998,72.0,3.0,0.06,2,0.12,0.36,426.2,21.736199999999997,404.4638,,,,,,,39.6,6.82,32.78,54.670946461538456,25.39893169230769,5.486867692307692,35.5361152,16.5093056,5.486867692307692,3.3475020518400003,1.55517658752,0.33596090880000007,91.85399999999998,3.644372647723557,1.6930962043242483,0.36575533868966426
"(Wu et al., 2016b)",18c,0.65,0.031400000000000004,0.020410000000000005,0.35,0.006,64.0,2.0096000000000003,27.276799999999998,72.0,3.0,0.06,4,0.24,0.72,426.2,13.63839999999999,412.5616,,,,,,,39.6,0.47,39.13,58.34432984615384,26.86048492307692,6.54976,37.9238144,17.4593152,6.54976,3.5724233164800006,1.6446674918400004,0.40104180480000007,183.70799999999997,1.9446204392187674,0.8952617696779731,0.21830394147233761
"(Wu et al., 2016b)",18d,0.65,0.031400000000000004,0.020410000000000005,0.35,0.006,64.0,2.0096000000000003,27.276799999999998,72.0,3.0,0.06,6,0.36,1.08,426.2,5.966799999999978,420.2332,,,,,,,39.6,0.15,39.45,59.244622769230766,27.291726769230767,6.603323076923076,38.5090048,17.7396224,6.603323076923076,3.6275482521600004,1.6710724300800004,0.40432147200000007,275.562,1.3164181752781627,0.6064233929496871,0.14672613495329265
"(Wu et al., 2016b)",18e,0.65,0.031400000000000004,0.020410000000000005,0.35,0.006,64.0,2.0096000000000003,27.276799999999998,72.0,3.0,0.06,8,0.48,1.44,426.2,4.688199999999938,421.51180000000005,,,,,,,39.6,0.11,39.49,59.388632615384616,27.361368615384617,6.610018461538461,38.602611200000005,17.784889600000003,6.610018461538461,3.6363659750400004,1.6753366003200003,0.40473143040000004,367.41599999999994,0.9897135603893157,0.45597812842119256,0.11015618002481575
"(Wu et al., 2016b)",18f,0.65,0.031400000000000004,0.020410000000000005,0.35,0.006,64.0,2.0096000000000003,27.276799999999998,72.0,3.0,0.06,10,0.6,1.7999999999999998,426.2,2.9834000000000174,423.21659999999997,,,,,,,39.6,0.06,39.54,59.579136,27.453666461538457,6.618387692307692,38.7264384,17.844883199999998,6.618387692307692,3.64803049728,1.6809879974400002,0.40524387840000003,459.27,0.7943106445620203,0.36601302010582304,0.0882365228297019
"(Zapater-Pereyra et al., 2014)",19a,0.38,0.24,0.0912,0.4,0.036480000000000005,16.3,3.912,2.5102,48.0,2.0,1.1580000000000001,24,27.792,55.584,154.0,10.3,143.7,,,,21.799999999999997,7.8999999999999995,13.899999999999999,,,,8.906663157894736,4.09558947368421,1.013602631578947,3.3845319999999997,1.5563239999999998,1.013602631578947,1.6245753599999997,0.7470355199999998,0.18488111999999995,14182.257599999999,0.011454984148642551,0.005267394945641669,0.0013036085312663666
"(Zapater-Pereyra et al., 2014)",19b,0.38,0.24,0.0912,0.4,0.036480000000000005,16.3,3.912,4.727,48.0,2.0,0.582,24,13.968,27.936,290.0,31.0,259.0,,,,33.5,2.5999999999999996,30.9,,,,17.2067947368421,7.80812894736842,2.2532605263157888,6.538581999999999,2.9670889999999996,2.2532605263157888,3.138519359999999,1.4242027199999998,0.4109947199999999,7127.870399999999,0.04403165579441398,0.019980760592950907,0.005766024028725568
"(Zhong et al., 2015)",20,0.6,0.48,0.288,0.4,0.1152,100.0,48.0,9.0,57.599999999999994,2.4,0.24,24,5.76,13.824,90.0,22.0,68.0,,,,32.9,21.8,11.099999999999998,,,,19.843333333333334,8.811666666666667,3.145,11.906,5.287,3.145,13.715711999999996,6.090623999999999,2.1738239999999993,3527.1936,0.3888562283624059,0.1726762035403992,0.06163041348226442
"(Zhou et al., 2017)",21,0.6,0.031400000000000004,0.018840000000000003,,0.011304000000000002,63.694267515923556,2.0,13.184713375796177,72.0,3.0,0.06,4,0.24,0.72,207.0,11.5,195.5,,,,,,,41.0,1.15,39.85,40.21337579617833,17.568471337579616,7.191613588110402,24.128025477707002,10.54108280254777,7.191613588110402,2.2728599999999997,0.99297,0.40647,183.70799999999997,1.2372134038800755,0.5405153831079834,0.22125873669084256
